address_id,user_id,address_line1,address_line2,city,state_province,postal_code,country,address_type,is_default,phone_number,latitude,longitude,resident_name,created_at,updated_at
1,1,2548 Washington Rd,Floor 23,Clinton,NE,68878,US,Shipping,True,+19494333632,41.911499,-90.167955,Olga Anderson,2024-05-22T03:43:47Z,2024-07-05T03:43:47Z
2,1,6202 Maple Pl,#907,Clinton,NE,68878,US,Office,True,+19494333632,41.85747,-90.147786,Olga Anderson,2023-04-28T03:43:47Z,2025-03-05T03:43:47Z
3,2,6573 Hill Ave,#898,Chester,LA,38785,US,Home,True,+17029070354,39.893183,-75.413175,David Robinson,2025-01-19T11:10:23Z,2025-08-09T11:10:23Z
4,2,2288 Lake Pl,,Chester,LA,38785,US,Shipping,True,+17029070354,39.835287,-75.338993,Sarah Schmidt,2024-11-10T11:10:23Z,2025-03-02T11:10:23Z
5,3,7434 Main Ln,,Seattle,WA,99353,US,Shipping,True,+19178298819,47.658592,-122.330564,Michael Anderson,2021-12-25T02:24:24Z,2025-06-27T02:24:24Z
6,4,3471 Broadway Dr,,Chester,WI,26483,US,Home,True,+13127534391,39.829398,-75.321363,Elena Sanchez,2025-06-06T00:38:20Z,2025-09-26T00:38:20Z
7,4,1050 River St,,Clinton,WI,17716,US,Shipping,True,+13127534391,41.743438,-90.147132,Kevin Martinez,2025-05-19T00:38:20Z,2025-06-05T00:38:20Z
8,5,7580 Lake Ave,,Salem,AR,54473,US,Shipping,True,+15033395118,45.01517,-123.025035,Mary Lopez,2021-08-08T15:15:50Z,2025-04-04T15:15:50Z
9,7,1344 Market Cir,,Riverside,ID,87992,US,Shipping,True,+12137664093,33.916574,-117.444047,Donna Ramirez,2024-04-28T10:03:03Z,2025-03-15T10:03:03Z
10,8,2201 Hill Ave,,Fairview,MD,95717,US,Shipping,True,+18582065624,40.861083,-74.07111,Chen Hill,2016-09-07T14:39:36Z,2023-06-20T14:39:36Z
11,8,4326 Sunset Ct,Apt 95,Fairview,MD,95717,US,Home,True,+14048217895,40.87847,-74.093383,Chen Hill,2016-12-22T14:39:36Z,2025-08-15T14:39:36Z
12,8,7008 Broadway St,Suite 559,Georgetown,MD,26704,US,Billing,True,+12129540726,38.226302,-84.629681,Chen Hill,2015-05-04T14:39:36Z,2018-10-17T14:39:36Z
13,9,5729 Park Dr,Suite 409,Edmonton,AB,N7K 5H1,CA,Home,True,+19059316265,53.511752,-113.420929,Amanda Clark,2025-02-09T13:39:47Z,2025-08-07T13:39:47Z
14,10,5410 Jefferson Rd,,Salem,VA,10221,US,Shipping,True,+18589764287,44.867825,-122.955091,Carlos Nelson,2019-11-05T18:16:02Z,2023-04-24T18:16:02Z
15,11,3849 Madison Ln,Suite 151,Chester,IN,72021,US,Home,True,+14047526840,39.754485,-75.406731,Donna Taylor,2024-01-21T05:39:36Z,2025-10-07T05:39:36Z
16,12,7778 Highland Ln,,Fairview,OK,51588,US,Shipping,True,+18057139300,40.880573,-74.046738,Rebecca Harris,2021-01-05T20:44:00Z,2023-12-08T20:44:00Z
17,13,6866 Broadway Pl,,Fairview,WY,12560,US,Home,True,+19495190867,40.892162,-74.004554,Jeffrey Martinez,2025-03-15T17:05:08Z,2025-10-24T17:05:08Z
18,13,6625 Jackson Blvd,,Fairview,WY,12560,US,Home,False,+19495190867,40.908744,-73.995375,Jeffrey Martinez,2025-04-15T17:05:08Z,2025-09-13T17:05:08Z
19,14,334 Jefferson Blvd,Floor 8,Clinton,MN,95215,US,Shipping,True,+12138553457,41.854794,-90.245107,Chen Singh,2020-09-07T10:13:29Z,2024-12-25T10:13:29Z
20,14,1877 Wilson Blvd,,Springfield,MN,59192,US,Office,True,+12138553457,39.867477,-89.634941,Chen Singh,2021-06-22T10:13:29Z,2025-06-25T10:13:29Z
21,14,3979 Cedar Ln,,Clinton,MN,95215,US,Home,True,+12138553457,41.766211,-90.091931,Chen Singh,2019-06-25T10:13:29Z,2023-05-17T10:13:29Z
22,15,7614 Lincoln Cir,,Bellevue,WA,45179,US,Shipping,True,+17029144687,47.577379,-122.202639,William Müller,2018-01-02T13:23:40Z,2020-01-16T13:23:40Z
23,15,4582 Jefferson Ln,,Bellevue,WA,45179,US,Shipping,False,+17029144687,47.548311,-122.253229,William Müller,2018-06-18T13:23:40Z,2023-12-10T13:23:40Z
24,15,8042 Highland St,Suite 415,Bellevue,WA,45179,US,Billing,True,+17029144687,47.571341,-122.185189,William Müller,2018-11-02T13:23:40Z,2025-01-16T13:23:40Z
25,16,5913 Elm Ln,#130,Bristol,WV,46241,US,Shipping,True,+19498377086,41.626662,-72.854441,Ahmed Nelson,2020-09-08T03:46:12Z,2022-04-29T03:46:12Z
26,16,8043 Cedar St,,Bristol,WV,46241,US,Office,True,+17186125069,41.659894,-73.012427,Kathleen Anderson,2017-11-15T03:46:12Z,2020-09-14T03:46:12Z
27,17,3405 Franklin Dr,Apt 161,Madison,NH,87139,US,Shipping,True,+17864561715,43.021073,-89.390802,Elizabeth Miller,2016-10-30T07:07:35Z,2016-11-09T07:07:35Z
