customer_id,gender,date_of_birth,account_status,city,state_province,postal_code,country,account_created_at,last_login_date,is_active
35,Male,1960-12-16,Active,Georgetown,TN,29142,US,2024-02-28 14:56:22,2025-12-12,True
120,Female,2011-10-02,Inactive,Bristol,OR,78118,US,2025-09-24 09:27:38,2025-11-03,False
155,Male,1964-12-02,Inactive,Clinton,UT,64831,US,2018-03-25 23:31:24,2019-09-10,False
52,Female,1999-03-29,Active,Franklin,IA,12125,US,2019-01-11 09:16:23,2025-04-07,True
166,Female,1943-02-21,Inactive,Chester,KY,56461,US,2015-04-25 17:37:16,2018-01-08,False
356,Female,1945-05-17,Inactive,Los Angeles,CA,90199,US,2021-10-20 06:15:37,2022-04-26,False
378,Female,1998-03-24,Active,Fairview,OR,52039,US,2020-12-31 12:59:03,2025-12-04,True
381,Male,1984-01-16,Active,Riverside,TN,54877,US,2017-08-03 17:31:17,2025-11-24,True
482,Female,1954-04-01,Active,Chester,SC,58752,US,2020-05-28 03:06:48,2025-11-16,True
495,Female,1977-04-18,Active,Riverside,OR,11453,US,2021-03-16 02:23:42,2025-07-26,True
38,Male,1955-12-28,Active,Franklin,WV,14081,US,2022-09-26 14:22:28,2025-12-04,True
228,Female,1984-05-06,Closed,Clinton,AL,71361,US,2017-07-14 02:16:49,2020-11-09,False
409,Male,1962-01-06,Active,Springfield,NE,20346,US,2018-07-14 08:44:05,2025-01-09,True
9,Female,1991-04-09,Inactive,Edmonton,AB,,CA,2024-11-30 13:39:47,2025-02-17,False
178,Female,1963-02-08,Active,Franklin,MS,79065,US,2017-01-01 06:01:11,2025-08-12,True
195,Male,1993-02-09,Active,Springfield,WV,57477,US,2024-09-16 01:54:59,2024-12-26,True
418,Male,1974-11-09,Active,Clinton,NL,,CA,2016-11-16 14:12:08,2025-09-30,True
207,Male,1941-05-12,Active,Riverside,OK,32427,US,2016-10-17 18:13:37,2025-01-02,True
332,Prefer Not To Say,1964-11-10,Active,Georgetown,NJ,90844,US,2023-02-26 15:50:04,2025-09-04,True
351,Male,1998-03-11,Inactive,Georgetown,MN,59682,US,2021-07-27 02:05:44,2022-08-20,False
435,Male,1996-12-26,Active,Los Angeles,CA,97861,US,2023-11-23 07:00:08,2025-12-16,True
255,Female,1951-12-09,Active,Salem,DE,48564,US,2016-11-11 06:28:55,2025-10-27,True
293,Female,1982-05-01,Active,Tacoma,WA,84678,US,2021-12-09 14:31:37,2025-05-15,True
43,Female,1977-01-18,Active,Madison,SC,87820,US,2020-08-10 01:02:02,2025-10-15,True
132,Female,1942-07-06,Blocked,Riverside,IA,14833,US,2015-06-01 10:03:21,2024-04-01,False
196,Male,1968-03-12,Active,Riverside,DE,20831,US,2022-09-18 19:11:41,2025-06-16,True
265,Female,1973-10-09,Blocked,Salem,NJ,16362,US,2016-04-02 05:27:34,2024-10-08,False
81,Other,1942-10-03,Closed,Springfield,SC,87846,US,2017-07-24 07:46:08,2019-12-07,False
214,Male,1978-05-28,Active,Springfield,NH,47587,US,2016-09-05 05:30:47,2025-10-15,True
