addr_id,customer_ref,address_category,street_line1,city_name,state_region,zip_postal,country_name,default_flag,record_created,latitude,longitude,street_line2,address_verified,last_modified
50555,CUST_01343,Both,5 iain loop,West Sean,Massachusetts,0942,Moldova,True,2025-06-01 18:41:56.087000,-3.595688,35.457502,Suite 455,False,2025-01-14 13:30:05.695000
50938,CUST_01357,Shipping,461 Mckenzie Stairs,Lake Jamie,Queensland,27893,American Samoa,False,2025-07-25 09:03:04.547000,-20.4818715,-129.988606,,False,
50060,CUST_99999,,,,,,GB,Yes,,,,Apt. 07,,2025-07-02 11:01:53.570000
50693,CUST_01494,Shipping,  Plaza Pepita Córdoba 13 Apt. 86   ,PerrierBourg,Delaware,  51020  ,Macao,False,2023-11-03 20:23:23.443000,,,,False,
50407,CUST_01435,Shipping,421 Cooley Falls Suite 557,Dos Santos,Victoria,9788,Martinique,False,2025-05-02 00:59:42.853000,-67.5540395,46.474033,6/,,
50592,CUST_01325,Billing,Klemmallee 8/2,Imbert,New South Wales,J5X 4X7,Reunion,True,2025-05-24 21:40:33.218000,-19.9415995,  -102.65859  ,Suite 759,True,
50642,CUST_01328,BILLING,Johan-Mohaupt-Gasse 103 Suite 611 Building 789,,Ontario,,KW,,1699763866,999,-181,,,
51232,CUST_01003,Both,Flat 85 11 Torres Mount,Elizabethstad,Castellón,C8X 4B3,Saint Helena,False,2023-12-17 10:04:28.025000,,,,,2025-07-11 04:46:32.161000
51055,CUST_01420,Both,5276 Sara Manor,Hammelburg,Florida,A4X 8L7,ouzbékistan,True,2024-12-20 15:17:38.166000,16.7754835,-35.392076,,True,2025-02-24 05:04:04.434000
50636,CUST_01408,Shipping,646 Luke cape,East Jamesshire,Victoria,10938,Mexico,False,2024-03-14 09:39:40.690000,-89.847803,-92.279891,,,2024-09-22 22:39:54.642000
  50072  ,CUST_01199,Shipping,"656, chemin de Menard",Lake Jacobhaven,Navarra,34812,georgia,False,2024-08-01 00:22:37.584000,-13.3410415,83.711096,,FALSE,
51176,CUST_01340,Shipping,Weißstraße 789,Schleiz,New Jersey,2975,  Cape Verde  ,False,2025-01-16 23:38:48.439000,-9.7551565,-15.277832,Suite 519,False,
50185,  CUST_01488  ,Both,  809 William expressway  ,  Sainte Émile  ,WESTERN AUSTRALIA,60988,Chile,  False  ,2025-05-08 14:04:00.221919,-51.6910035,132.805761,Apt. 869,FALSE,2025-06-16 13:55:30.867398
51357,CUST_01098,Both,910 KEVIN QUAY,Corteztown,Castellón,49882,Isle of Man,False,2024-04-19 05:44:19.065000,30.0642135,119.370218,,,2025-04-26 14:44:52.470000
51442,CUST_01226,Shipping,rue Marie Becker,Jennifershire,Wyoming,7833,Portugal,True,2024-08-31 14:07:24.695000,10.876138,165.521074,Apt. 01,,2024-09-19 11:07:03.258000
50957,CUST_01336,Both,242 Lewis Ranch Apt. 912,East Lynnview,La Coruña,47151,egypt,False,2024-06-11 05:02:58.654000,,,Studio 5,,
50954,CUST_01045,Shipping,92640 Hobbs Ford Apt. 880,Port Edward,Victoria,22766,Haití,False,2024-04-15 13:02:22.338000,,,Puerta 1,,2025-01-06 10:06:40.907000
50206,CUST_01147,Billing,367 Joan Avenue,Newmanville,western australia,2935,Norfolk Island,False,2023-10-10 20:06:51.603000,49.8350775,-44.003759,,False,
50525,CUST_01148,SHIPPING,1 Walker Dip,,Northern Territory,,New Caledonia,,2025-02-23 08:50:00.747000,84.482151,11.395267,,,
50183,CUST_01028,Shipping,Sagerstr. 66,New Johnbury,Huelva,23612,Somalia,False,2025-06-19 02:00:13.616000,44.7108385,56.168817,,,2024-12-02 06:20:05.886000
50254,CUST_01298,Shipping,Calle de Roberto Pont 50,  Cádiz  ,Asturias,2669,Christmas Island,False,2024-09-03 11:02:36.276000,55.124838,51.527502,,True,2025-04-21 12:10:20.157000
50789,CUST_01326,Shipping,"375, rue Allain",Parkerbury,Sevilla,12742,Alemania,False,2023-12-22 08:37:58.392000,4.951827,-79.852845,  Piso 4  ,False,
50053,CUST_01135,Billing*,832 Walker Coves,Dannyview,Victoria,37763,Senegal,False,2025-01-15 01:53:55.768862,-82.952541,  173.17045  ,,,2025-05-20 13:05:35.199000
51358,CUST_01058,Billing,"Studio 59
Yates harbors",Freyton,Rhode Island,CB64 8EA,  Guernsey  ,False,2024-09-02 13:44:40.577000,,,,True,
50740,CUST_01161,Both,,West Meganfurt,,11406,Jamaïque,False,2025-03-21 13:17:55.444000,-67.442694,94.286425,,,
50654,CUST_01250,Billing,452 Molly Ramble,Roussel-sur-Étienne,Connecticut,N4E2H4,Falkland Islands (Malvinas),  false  ,2025-05-16 16:43:48.091000,55.3058115,-137.231179,,True,
50518,CUST_01367,Both,1588 Perez Lodge Suite 747,Kathrynburgh,Missouri,83528,Isle of Man,False,2024-12-17 21:53:10.623000,-29.818754,147.333451,Flat 64,,2025-03-12 02:38:06.234000
,, ,,, ,,,, ,, ,,,
50215,  CUST_01441  ,Billing,41 Pearce forge,Pontevedra,Bayern,10556,Venezuela,False,2023-12-07 01:47:23.272000,,,Suite 727,,2024-12-01 01:38:37.702000
50445,CUST_01218,Billing,Callejón Itziar Vives 3 Piso 3 ,Jülich,Albacete,S5D 3RE,Turkey,False,2025-01-17 20:57:13.087000,51.4404895,-37.563138,,,
50762,CUST_01338,Billing,9 Kevin Glade,St. Daniel,Soria,IM3 1ZX,Österreich,  True  ,2025-02-10 00:11:44.582000,-18.1130875,  -70.620557  ,,True,2025-03-31 14:36:08.035000
50331,CUST_01069,Shipping,56260 Reyes Course Apt. 182,East Jonathan,Georgia,H3B1N1,Iceland,False,2024-04-30 19:20:39.967000,-2.968449,21.602091,,,2025-08-03 19:06:19.475000
51054,CUST_01495,Shipping,Plaza de Candelas Lobo 19 Piso 9 ,New Michaelberg,Álava,2306,Italy,False,  2024-03-03 18:29:14.829024  ,-16.6182225,58.398695,,True,
,,,,,,,,,  null  ,,,, , 
50037@,CUST_01122,Shipping,Blochplatz 9,Santa Cruz de Tenerife,Valladolid,27181,Mexico,False,2025-07-18 16:02:40.817000,,,,,2025-07-27 23:34:52.160000
50210,  CUST_01240  ,,,zeulenroda,RI,00000,,0,,,,  NA  ,,
51351,CUST_01073,Both,125 Macdonald Road Apt. 473,Lake Karenville,La Rioja,84494,Allemagne,TRUE,2024-12-11 15:24:29.879000,9.194708,11.417154,,,2024-12-28 17:30:37.560000
,,SHIPPING,,123,,,,,2025-05-24 17:42:54,999,999,,true,
50585,CUST_01119,BILING,Unit 73 7 Taylor Turn,Meiningen#,Australian Capital Territory,23550,Estonia,  False  ,2025-06-12 12:18:09.315000,,,,Y,2025-08-30 12:57:13.520000
50049,CUST_01410,Both,28421 David Knolls Apt. 950,East Thomasstad,New Hampshire,28729,Saint Lucia,True,2025-07-04 20:19:46.210000,,,  Flat 02V  ,True,
51449,CUST_01051,Billing,64691 Patrick Overpass,New Robertshire,  Queensland  ,B4J 9C8,Danemark,False,2024-05-01 11:02:23.280000,52.3699495,96.81042,,,2025-06-05 19:48:18.467000
51291,CUST_01360,Billing,"58, avenue Barbe",New Laura,Victoria,64170,Guam,False,2025-06-03 09:20:07.398000,83.268046,47.764945,,,2025-01-09 12:05:36.235000
50898,CUST_01329,Shipping,Noackallee 43,Millerchester,Northern Territory,G7T 8H1,  Islande  ,False,  2024-07-11 14:03:47.228395  ,13.9991035,34.850026,,False,
50844,CUST_01459,Shipping,Ronda Dionisia Lobato 381 Puerta 3 ,North Jeffreychester,La Rioja,97166,Somalia,False,2025-02-06 21:49:22.822000,,,,,
51280,,Billing,,Sparksmouth,,M5H 2N2,,,2024-11-10 11:16:34,,-999,1/,,
50147,CUST_01120,Shipping!,"Studio 2
Thomas isle",Badibling,Cuenca,N5M 8M2,Etiopía,False,2024-04-16 12:24:36.311000,28.946599,-7.735136,,False,
50272,CUST_01131,Both,25472 Jennifer Heights Apt. 222,  North Elliottshire  ,Western Australia,H1J6Y6,Holy See (Vatican City State),False,2024-10-08 09:12:47.308000,53.2486915,-114.775541,,True,
50032,CUST_01356,Both,"Flat 0
Jones mill",South Travisshire,Georgia,M1D 8SZ,Swaziland,False,  2024-02-21 21:10:10.805914  ,12.1069495,57.684029,Apt. 047,,
50622,CUST_01145,Shipping,41884 Kristen Summit,Flöha,Texas,08110,guadeloupe,False,2025-02-16 15:43:16.596000,25.3742695,-56.257518,,True,
  50327  ,CUST_01045,Shipping,"6, chemin Thibaut Cousin",West Douglasshire,Almería,J1H2V9,BANGLADESH,False,2023-10-12 15:52:58.201000,63.8293785,123.742223,,True,
50022,CUST_01216,Billing,"Studio 73
Williams station",Saint Henri-sur-Mer,Tarragona,DN1P 5XT,Bahamas,False,2025-05-10 10:22:45.495000,66.787623,-169.513864,Apt. 455,False,2025-07-27 21:54:58.129000
50588,CUST_01348,Shipping,7567 Hayes Divide Suite 602,Moodyburgh,Northern Territory,B6 2LP,Angola,False,2024-06-22 12:57:08.893000,57.4592825,-57.733398,Suite 265,False,2025-03-05 23:08:17.335000
50737,CUST_01153,Both,9433 Kathleen Mews Apt. 389,Sainte SusanVille,Virginia,18308,Turks and Caicos Islands,False,2025-05-21 13:23:26.513000,-52.5353795,-64.925881,Piso 9,,  2024-09-27 21:10:35.498064  
50345,CUST_01231,Shipping,15081 Kelly Fields Suite 003,Clivebury,Hamburg,H3J 5A2,Switzerland,False,2023-12-19 06:37:07.970000,-60.211983,-67.129667,,,
50262,CUST_01074,Shipping,"47, RUE LÉON MARIE",Soria,Madrid,B05 3SL,Nicaragua,True,2025-06-21 04:58:45.493000,,,,False,2024-09-25 02:00:06.364000
50225,CUST_01360,S,Tony-Meyer-Gasse 88,,Valencia,,Moldova,,2024-09-21 01:00:58.962000,,,,Unknown,
51202,CUST_01459,Billing,"68, avenue de Dubois",Jaén,Victoria,29138,Bulgarie,False,2025-04-03 02:27:32.193000,,,,False,
51192,CUST_01376,Both,041 Cervantes Forges Apt. 326,Segovia,Sachsen,T2M7E1,Saint Barthelemy,False,2025-03-12 21:03:30.687000,  -84.515015  ,-45.689585,,True,
51483,CUST_01179,Billing,Stollweg 5,Soria,Niedersachsen,T8X 8S9,Perú,False,2025-08-20 02:00:35.166000,-45.7772865,-107.294669,,,
50219,CUST_01227,Shipping,"70, boulevard de Bertrand",North Justin,Bayern,1164,  Tschad  ,False,2024-05-30 03:43:12.753000,-84.878701,168.649954,,False,
50461,CUST_01498,Both,"Flat 2
Lorraine viaduct",Wolmirstedt,Kansas,2399,  Thailand  ,True,2025-04-21 21:00:51.438000,,,,True,
  50320  ,,Shipping,,Teruel,,M5H 2N2,,,2024-09-21 22:26:24,999,-999,,True,
51315,CUST_01209,Both,905 Benjamin Spring Apt. 153,Guadalajara,Lleida,17448,Puerto Rico,False,2024-09-02 16:32:43.457000,33.697019,-8.861592,Studio 4,  False  ,
51161,CUST_01467,Both,Callejón Eloy Casal 38,West Gloria,Huelva,26996,Antarctica (the territory South of 60 deg S),False,2024-01-29 09:48:17.728000,,,,,
51209,CUST_01332,Billing,2 Jake stream,Kennethview,Montana,G5C7B7,Tunisia,False,  2024-04-30 10:31:02.866941  ,,,,True,2024-09-15 19:15:17.055000
50019,CUST_01250,Billing,Pieperweg 1,  Soria  ,Mecklenburg-Vorpommern,14050,  ANGUILLA  ,False,2024-03-06 20:59:35.050000,74.087607,-140.900642,,True,
50471,CUST_01111,Shipping,5749 Ethan Cape Suite 290,Port Lawrence,Hessen,6026,Sudáfrica,  False  ,2025-08-07 18:16:37.108000,61.7740465,128.39972,,True,2025-03-28 11:58:13.002000
51370,CUST_01255,Billing,boulevard Fischer,Girona,Baden-Württemberg,C1C 4G7,Maldives,false,2024-07-01 19:53:19.552000,,,Flat 96 ,,
50727,CUST_01140,Shipping,Ira-Stahr-Weg 2,Albacete,Iowa,2619,Falkland Islands (Malvinas),False,  2024-07-15 15:28:42.138175  ,57.5576215,109.716658,,True,2025-01-28 17:52:21.328000
50375,CUST_01358,B,Alameda de María Manuela Patiño 48 Apt. 60 ,,Guadalajara,,Suriname,,2025-05-13 14:12:41.886000,32.348729,  142.909287  ,,,
51062,CUST_01413,Billing,453 Samantha Skyway,Morganstad,Western Australia,  12092  ,Belize,False,2025-02-02 13:44:07.463000,37.987364,-150.502136,6/,True,
50603,CUST_01132,Billing,4734 Emily Well,Lake Lucy,Tennessee,74322,Mauricio,False,2025-08-05 13:06:19.118000,,,,False,
50797,CUST_01399,Billing,8566 Finley Wells Apt. 636,New Sallyfurt,Saarland,40241,Gambie,False,2025-03-20 10:15:23.844000,-9.3343145,-160.577223,,False,2025-08-27 19:59:14.047000
50731,CUST_01012,Shipping,683 Barbara locks,Saint Diane,Washington,71290,Uganda,False,2025-08-21 15:45:30.120000,-73.6784695,-134.669311,Apt. 726,False,
