cust_id,full_name,customer_category,sex,birth_date,account_created,status,acquisition_source,customer_tier,created_timestamp,email_address,phone_number,last_purchase_date,total_purchases,loyalty_points,age,lifetime_value,country
10369,Cynthia Gregory,B2C,Male,1971-10-04 00:00:00,2022-11-11 11:16:01.415000,Inactive,LinkedIn,High Value,2024-12-21 08:06:42.374000,jwright@example.net,(0118) 496 0414,2025-05-09 00:00:00,,4228,  48  ,26181.4,
10078,Ms Karen Turner,Guest*,Female,1994-04-30 00:00:00,2025-05-16 17:36:24.471000,Inactive,Twitter,Occasional Buyer,2025-07-26 11:31:46.690000,ashley15@example.com,+61-488-728-743,2025-06-02 00:00:00,,549,38,33255.39,LS
10299,Maureen Lewis,B2C,Other,1996-07-11 00:00:00,2022-12-17 23:00:49.110000,Blocked,Referral,Churned,2025-05-27 04:16:42.884000,davisroger@example.org,08.1586.9886,2025-04-28,  61.0  ,,79,34079.73,TV
10890,James Lopez,B2C,Male,1992-09-22,2024-07-03 16:48:27.355000,Blocked,Direct,At Risk,2025-03-01 14:08:45.818000,DAVIESKIRSTY@EXAMPLE.NET,  (0161)4960182  ,2025-08-27 00:00:00,25.0,,59,,ME
10821,Charlotte Anderson,B2C,Other,1966-08-28 00:00:00,2025-07-16 12:12:56.323000,Active,Direct,High Value,2024-10-04 00:42:14.267000,grahamtalbot@example.net,472-044-1007 x941,2025-09-08 00:00:00,89,,39,,IR
10931,John Harris,guest,Female,1970-10-12 00:00:00,2025-06-19 05:06:53.917000,Blocked,Referral,New Customer,2025-08-14 09:55:01.198000,SCHAEFERSCOTT@EXAMPLE.ORG,536-059-5298,2024-10-09 00:00:00,,1912,80,885.49,ZM
10862,Timothy Gardner,B2C,Male,1955-09-28 00:00:00,2023-02-06 19:01:14.868000,Inactive,LinkedIn,New Customer,2025-06-14 10:00:29.736000,  denise76@example.net  ,816.520.4298x5144,2025-08-18 00:00:00,,1986,,7015.16,MR
10542,Thomas Booth,B2C,Other,1998-05-27 00:00:00,2025-05-07 12:26:32.514000,Active,Direct,  Occasional Buyer  ,2024-11-22 09:43:14.524000,,+44117 496 0415,2025-02-28 00:00:00,  84.0  ,1371,79,24449.53,TV
10053,Jane Lane,Guest,Other,1955-08-15 00:00:00,2024-06-28 14:29:36.924000,Blocked,Google Ads,Occasional Buyer,2024-11-12 23:01:47.625000,wwebster@example.net,  +61.499.552.717  ,2025-06-26 00:00:00,,,,31739.24,ZM
10034,Kari Johnson,B2B,Prefer not to say,1989-05-28 00:00:00,2023-06-12 05:46:55.612000,Inactive,LinkedIn,Churned,2024-10-13 07:15:32.158000,pvalentine@example.org,(07)-6773-7826,2025-07-21 00:00:00,61,,55,976.6,US
10539,George Ortega,B2C,Male,1990-04-04 00:00:00,2021-12-02 13:21:58.110526,Active,Email Marketing,New Customer,2025-04-04 20:32:59.675000,wkelley@example.com,1-736-271-8749,,,,53,,FR
10252,Heather Goddard,B2B,Prefer not to say,2006-04-21 00:00:00,  2022-07-22 07:35:00.930506  ,Active,Instagram,Churned,2025-03-23 03:59:43.924000,,7676275208,2025-06-27 00:00:00,,2771,61,37181.19,JP
10554,Miss Amelia Hurst,B2C,Other,1982-06-07 00:00:00,2022-05-25 05:03:07.935000,Blocked,Email Marketing,  At Risk  ,2025-07-01 01:16:01.967000,anna71@example.org,(08)33535748,2025-04-07 00:00:00,67,,46,,
10581,Nicole Moore,B2B,Prefer not to say,1976-01-04 00:00:00,2022-11-08 13:42:40.660000,Inactive,Direct,New Customer,2025-02-08 16:18:18.639000,kendrawilliams@example.com,(08) 5489 5478,2025-02-26 00:00:00,0,,42,48765.25,MV
10773,Robert Davis,Guest,OTHER,  1972-04-16  ,2021-01-04 22:14:20.916000,Inactive,Twitter,Occasional Buyer,2024-11-17 01:00:33.603000,jared50@example.org,(0191)4960502,2025-02-09 00:00:00,40,,26,,TJ
10480,,Individual,,,2022-07-24 17:30:04.302000,,,High Value,,,08.4248.0962,,,3711,35,,
10734,JÃ¡mÃ©s GonzÃ¡lÃ©s,B2B,Prefer not to say,1947-06-20 00:00:00,2025-09-02 09:44:05.414000,Blocked,LinkedIn,NEW CUSTOMER,2025-05-20 21:02:58.903000,cheryloconnor@example.com,1 (630) 067-7625,2025-04-27 00:00:00,,4446,26,14035.01,GM
